room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
1,2016/01/05 9:45:17,2016/01/05 9:46:11,217.175,28.6109988568,140.31,220.8825,283.995,2,143.685,230.55025,48.1038358157,101.655,219.33,333.225,2,231.57
1,2016/01/05 9:46:12,2016/01/05 9:47:06,201.88025,25.3082513554,135.72,193.995,273.96,2,138.24,217.175,28.6109988568,140.31,220.8825,283.995,2,143.685
1,2016/01/05 9:47:06,2016/01/05 9:48:00,210.967,28.5545853659,151.875,202.365,315.54,2,163.665,201.88025,25.3082513554,135.72,193.995,273.96,2,138.24
1,2016/01/05 9:48:01,2016/01/05 9:48:56,269.2495,54.9706253962,135.72,294.615,333.63,2,197.91,210.967,28.5545853659,151.875,202.365,315.54,2,163.665
1,2016/01/05 9:48:57,2016/01/05 9:49:51,237.44875,48.8122279043,28.935,248.3325,312.075,2,283.14,269.2495,54.9706253962,135.72,294.615,333.63,2,197.91
1,2016/01/05 9:49:51,2016/01/05 9:50:45,218.10475,38.697553433,25.47,211.7925,319.32,2,293.85,237.44875,48.8122279043,28.935,248.3325,312.075,2,283.14
1,2016/01/05 9:50:46,2016/01/05 9:51:40,168.306,40.3016838386,125.82,145.5525,259.2,2,133.38,218.10475,38.697553433,25.47,211.7925,319.32,2,293.85
1,2016/01/05 9:51:40,2016/01/05 9:52:35,298.8315,77.9165489301,160.245,339.525,436.635,2,276.39,168.306,40.3016838386,125.82,145.5525,259.2,2,133.38
1,2016/01/05 9:52:35,2016/01/05 9:53:30,246.43175,70.5187328067,125.55,217.575,356.4,2,230.85,298.8315,77.9165489301,160.245,339.525,436.635,2,276.39
1,2016/01/05 9:53:30,2016/01/05 9:54:24,188.354,30.4724786419,120.96,202.0725,235.755,2,114.795,246.43175,70.5187328067,125.55,217.575,356.4,2,230.85
1,2016/01/05 9:54:24,2016/01/05 9:55:19,212.0865,19.4732210904,127.98,212.175,247.77,2,119.79,188.354,30.4724786419,120.96,202.0725,235.755,2,114.795
1,2016/01/05 9:55:19,2016/01/05 9:56:14,155.542,36.2695984147,123.21,139.23,265.905,2,142.695,212.0865,19.4732210904,127.98,212.175,247.77,2,119.79
1,2016/01/05 9:56:14,2016/01/05 9:57:09,138.80275,7.39776263314,131.4,138.375,182.205,2,50.805,155.542,36.2695984147,123.21,139.23,265.905,2,142.695
1,2016/01/05 9:57:09,2016/01/05 9:58:03,205.343,72.0840393863,131.535,156.015,348.795,2,217.26,138.80275,7.39776263314,131.4,138.375,182.205,2,50.805
1,2016/01/05 9:58:03,2016/01/05 9:58:58,270.13,16.4509954616,127.575,273.105,284.4,2,156.825,205.343,72.0840393863,131.535,156.015,348.795,2,217.26
1,2016/01/05 9:58:58,2016/01/05 9:59:53,259.884,15.0185702032,211.995,255.24,329.58,2,117.585,270.13,16.4509954616,127.575,273.105,284.4,2,156.825
1,2016/01/05 9:59:53,2016/01/05 10:00:47,250.80375,15.0840508455,207.09,255.195,290.025,2,82.935,259.884,15.0185702032,211.995,255.24,329.58,2,117.585
1,2016/01/05 10:00:47,2016/01/05 10:01:42,248.873,43.5758840447,150.345,231.885,385.2,2,234.855,250.80375,15.0840508455,207.09,255.195,290.025,2,82.935
1,2016/01/05 10:01:42,2016/01/05 10:02:36,252.842,65.2778026184,74.205,256.14,386.145,2,311.94,248.873,43.5758840447,150.345,231.885,385.2,2,234.855
1,2016/01/05 10:02:36,2016/01/05 10:03:31,232.634,32.264778799,150.75,228.8925,347.085,2,196.335,252.842,65.2778026184,74.205,256.14,386.145,2,311.94
1,2016/01/05 10:03:31,2016/01/05 10:04:25,186.387,43.1011988018,130.635,171.3375,293.58,2,162.945,232.634,32.264778799,150.75,228.8925,347.085,2,196.335
1,2016/01/05 10:04:25,2016/01/05 10:05:19,219.264,44.5064864691,146.025,236.4075,274.23,2,128.205,186.387,43.1011988018,130.635,171.3375,293.58,2,162.945
